GO:0016802	trialkylsulfonium hydrolase activity	AAEL008341 AAEL005524
GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity	AAEL010694 AAEL008925
GO:0012501	programmed cell death	AAEL011562 AAEL001501 AAEL014348 AAEL014658 AAEL014148 AAEL000763 AAEL007594 AAEL007595 AAEL007668 AAEL006265 AAEL005963 AAEL011983 AAEL003439 AAEL012446 AAEL014825 AAEL003829 AAEL007309 AAEL017498 AAEL005956 AAEL005955 AAEL003444 AAEL012143
GO:0030276	clathrin binding	AAEL014598 AAEL013863
GO:0005938	cell cortex	AAEL005419
GO:0046098	guanine metabolic process	AAEL003213 AAEL801249
GO:0010605	negative regulation of macromolecule metabolic process	AAEL005004 AAEL008050
GO:0050818	regulation of coagulation	AAEL009486
GO:0005930	axoneme	AAEL010772 AAEL001340
GO:0043094	cellular metabolic compound salvage	AAEL009601
GO:0007276	gamete generation	AAEL010837 AAEL007900 AAEL008564 AAEL013235
GO:0043096	purine nucleobase salvage	AAEL005976
GO:0043097	pyrimidine nucleoside salvage	AAEL009099
GO:0097159	organic cyclic compound binding	AAEL008247
GO:1903524	positive regulation of blood circulation	AAEL005252
GO:0006354	DNA-templated transcription, elongation	AAEL003528 AAEL006021 AAEL006172 AAEL001339 AAEL003976 AAEL000903 AAEL006015 AAEL018357
GO:0006355	regulation of transcription, DNA-templated	AAEL011724 AAEL010723 AAEL004686 AAEL001567 AAEL003973 AAEL008445 AAEL001375 AAEL014670 AAEL801222 AAEL007605 AAEL006532 AAEL801235 AAEL015111 AAEL012029 AAEL015355 AAEL008392 AAEL002179 AAEL007230 AAEL012824 AAEL006082 AAEL011106 AAEL011480 AAEL012619 AAEL001148 AAEL007831 AAEL005195 AAEL012930 AAEL018300 AAEL000263 AAEL010327 AAEL004123 AAEL002321 AAEL010054 AAEL017391 AAEL009047 AAEL001361 AAEL009170 AAEL008736 AAEL012039 AAEL014072 AAEL003158 AAEL001689 AAEL002140 AAEL006939 AAEL013510 AAEL008437 AAEL013518 AAEL004605 AAEL007120 AAEL002060 AAEL014277 AAEL004602 AAEL011647 AAEL013832 AAEL002772 AAEL003794 AAEL009933 AAEL010433 AAEL003563 AAEL001373 AAEL010744 AAEL001428 AAEL000212 AAEL001500 AAEL000584 AAEL010513 AAEL010925 AAEL011825 AAEL010926 AAEL001695 AAEL001696 AAEL007190 AAEL005009 AAEL013733 AAEL014711 AAEL004458 AAEL010597 AAEL002795 AAEL000468 AAEL013010 AAEL002154 AAEL002395 AAEL014635 AAEL010217 AAEL009609 AAEL011739 AAEL018157 AAEL009235 AAEL010354 AAEL012881 AAEL012525 AAEL012523 AAEL018225 AAEL005480 AAEL005453 AAEL007505 AAEL007502 AAEL005368 AAEL000452 AAEL013752 AAEL001437 AAEL004259 AAEL015383 AAEL014557 AAEL014550 AAEL007779 AAEL002802 AAEL014151 AAEL001780 AAEL012312 AAEL007067 AAEL009895 AAEL004839 AAEL014491 AAEL008796 AAEL008063 AAEL011117 AAEL010341 AAEL013136 AAEL004707 AAEL011056 AAEL006593 AAEL004132 AAEL004130 AAEL006597 AAEL012891 AAEL005247 AAEL012474 AAEL002348 AAEL002427 AAEL016982 AAEL002343 AAEL007672 AAEL005250 AAEL008266 AAEL001036 AAEL008694 AAEL014740 AAEL001116 AAEL004097 AAEL014143 AAEL014389 AAEL009742 AAEL801250 AAEL018287 AAEL004942 AAEL013809 AAEL008720 AAEL013397 AAEL014021 AAEL009743 AAEL010463 AAEL002528 AAEL002335 AAEL011751 AAEL003436 AAEL012150 AAEL002359 AAEL011943 AAEL000631 AAEL002451 AAEL013087 AAEL002628 AAEL002355 AAEL002822 AAEL007369 AAEL008129 AAEL008685 AAEL013405 AAEL013760 AAEL006442 AAEL014237 AAEL011323 AAEL007482 AAEL001805 AAEL007221 AAEL011202 AAEL001637 AAEL002166 AAEL012877 AAEL004648 AAEL012187 AAEL010762 AAEL005166 AAEL004436 AAEL011317 AAEL001652 AAEL003077 AAEL014912 AAEL014322 AAEL000250 AAEL000149 AAEL011415 AAEL015035 AAEL007700 AAEL008466 AAEL007252 AAEL012990 AAEL006782 AAEL010319 AAEL008636 AAEL007360 AAEL014125 AAEL003263 AAEL010797 AAEL014848 AAEL011462 AAEL002740 AAEL010136 AAEL005974 AAEL014513 AAEL004106 AAEL017229 AAEL018695 AAEL010018 AAEL006013 AAEL013998 AAEL005685 AAEL012211 AAEL009027 AAEL001380 AAEL004744 AAEL008022 AAEL004586 AAEL003277 AAEL008141 AAEL001097 AAEL006595 AAEL003372 AAEL000623 AAEL012900 AAEL013342 AAEL003506 AAEL003504
GO:0006357	regulation of transcription from RNA polymerase II promoter	AAEL017515 AAEL009442 AAEL004737 AAEL002137 AAEL010319 AAEL006956 AAEL001496 AAEL007696 AAEL000128 AAEL008953 AAEL012057 AAEL000661 AAEL000656 AAEL010020 AAEL006930 AAEL003560
GO:0006351	transcription, DNA-templated	AAEL010723 AAEL007686 AAEL004686 AAEL001567 AAEL014501 AAEL011231 AAEL000169 AAEL007397 AAEL005513 AAEL003401 AAEL005022 AAEL007605 AAEL006532 AAEL011926 AAEL008720 AAEL015297 AAEL007230 AAEL011739 AAEL002765 AAEL017213 AAEL014869 AAEL011323 AAEL000263 AAEL017010 AAEL002321 AAEL015043 AAEL005507 AAEL007202 AAEL013457 AAEL000982 AAEL005934 AAEL013518 AAEL002062 AAEL001847 AAEL018165 AAEL006934 AAEL003560 AAEL001428 AAEL010513 AAEL010925 AAEL001298 AAEL011825 AAEL010926 AAEL007350 AAEL007190 AAEL013733 AAEL004458 AAEL000468 AAEL005631 AAEL007056 AAEL009600 AAEL002395 AAEL002394 AAEL010217 AAEL017317 AAEL003552 AAEL000677 AAEL003020 AAEL018223 AAEL017156 AAEL001906 AAEL005480 AAEL006193 AAEL013700 AAEL005522 AAEL007181 AAEL004552 AAEL000327 AAEL009692 AAEL013546 AAEL015383 AAEL013896 AAEL007402 AAEL014831 AAEL011692 AAEL012817 AAEL006566 AAEL009895 AAEL007260 AAEL011117 AAEL010341 AAEL009382 AAEL013134 AAEL011056 AAEL002896 AAEL004132 AAEL012750 AAEL013248 AAEL002348 AAEL004017 AAEL006976 AAEL001831 AAEL001400 AAEL014021 AAEL001036 AAEL008696 AAEL010861 AAEL000720 AAEL014740 AAEL004097 AAEL004146 AAEL007279 AAEL008818 AAEL018134 AAEL006916 AAEL013397 AAEL009588 AAEL013504 AAEL002528 AAEL010468 AAEL003436 AAEL002359 AAEL012562 AAEL011304 AAEL011943 AAEL017445 AAEL004574 AAEL013087 AAEL801166 AAEL013270 AAEL002822 AAEL008129 AAEL005077 AAEL000254 AAEL001321 AAEL007568 AAEL005381 AAEL008043 AAEL009734 AAEL007482 AAEL018187 AAEL001746 AAEL000128 AAEL801152 AAEL000041 AAEL001883 AAEL010762 AAEL011701 AAEL012284 AAEL000250 AAEL000149 AAEL001796 AAEL006661 AAEL000894 AAEL011866 AAEL008337 AAEL002853 AAEL801209 AAEL010617 AAEL007496 AAEL006782 AAEL009489 AAEL010319 AAEL001496 AAEL010797 AAEL010565 AAEL002343 AAEL011087 AAEL004106 AAEL014517 AAEL001260 AAEL000158 AAEL012355 AAEL010020 AAEL012057 AAEL001304 AAEL009027 AAEL008755 AAEL002284 AAEL005850 AAEL004586 AAEL011013 AAEL000395 AAEL001097 AAEL004174 AAEL002049 AAEL011664
GO:0006352	DNA-templated transcription, initiation	AAEL003689 AAEL003833 AAEL003814 AAEL003838 AAEL000501 AAEL012330 AAEL006082 AAEL006789 AAEL011999 AAEL002079 AAEL006988 AAEL013709 AAEL003673 AAEL003823 AAEL000490 AAEL008363 AAEL003866 AAEL003846 AAEL003863 AAEL005368 AAEL000513 AAEL005742 AAEL000517 AAEL005975 AAEL013653
GO:1903522	regulation of blood circulation	AAEL005252
GO:0046416	D-amino acid metabolic process	AAEL000164 AAEL008512 AAEL000213 AAEL012674
GO:0046415	urate metabolic process	AAEL002194
GO:0009264	deoxyribonucleotide catabolic process	AAEL003246 AAEL006858
GO:0098796	membrane protein complex	AAEL005856
GO:0010921	regulation of phosphatase activity	AAEL007410
GO:0009266	response to temperature stimulus	AAEL010319 AAEL005165 AAEL011055
GO:0031011	Ino80 complex	AAEL014237 AAEL004686 AAEL001805 AAEL002822 AAEL012355 AAEL010341 AAEL002139 AAEL012145 AAEL010762 AAEL011317
GO:0031010	ISWI-type complex	AAEL007466
GO:0017022	myosin binding	AAEL001220
GO:0031012	extracellular matrix	AAEL002982 AAEL002661 AAEL002256 AAEL000788 AAEL002655 AAEL000790 AAEL002665 AAEL002677 AAEL002672 AAEL005666
GO:0042578	phosphoric ester hydrolase activity	AAEL008807 AAEL007660 AAEL011417 AAEL014035
GO:0042579	microbody	AAEL002913 AAEL001666 AAEL000370 AAEL002194 AAEL008841 AAEL000735 AAEL008574 AAEL004985 AAEL004417
GO:0030014	CCR4-NOT complex	AAEL006867
GO:0018193	peptidyl-amino acid modification	AAEL005181
GO:0060590	ATPase regulator activity	AAEL004438
GO:0035023	regulation of Rho protein signal transduction	AAEL010517 AAEL012473 AAEL001393 AAEL001353 AAEL001398 AAEL007721 AAEL013280 AAEL004246 AAEL017975 AAEL005297 AAEL011061 AAEL001165 AAEL001530 AAEL004066 AAEL015597 AAEL012730 AAEL004600 AAEL011225 AAEL000719 AAEL001509 AAEL001519 AAEL000734 AAEL001244 AAEL011695 AAEL000984 AAEL004819 AAEL013487 AAEL018146 AAEL005726 AAEL018213 AAEL002100 AAEL001384
GO:0061061	muscle structure development	AAEL014322 AAEL006051
GO:1904950	negative regulation of establishment of protein localization	AAEL003244
GO:0042575	DNA polymerase complex	AAEL015671
GO:0043632	modification-dependent macromolecule catabolic process	AAEL000568 AAEL001112 AAEL001756 AAEL801225_b AAEL006061 AAEL801225_a AAEL005040 AAEL001540 AAEL003871 AAEL007353 AAEL003733 AAEL017990 AAEL004980 AAEL013530 AAEL002698 AAEL010966 AAEL009702 AAEL009160 AAEL011287 AAEL013052 AAEL011146 AAEL012807 AAEL009353 AAEL004653 AAEL005826 AAEL006929 AAEL004308 AAEL017159 AAEL010496 AAEL009684 AAEL003907 AAEL009824 AAEL003517 AAEL013089 AAEL006056 AAEL013203 AAEL000787 AAEL007187 AAEL010692 AAEL008450 AAEL010854 AAEL008455 AAEL015007 AAEL008008 AAEL011975 AAEL009614 AAEL010184 AAEL009042 AAEL010087 AAEL012593 AAEL009898 AAEL012707 AAEL005830 AAEL000781 AAEL004173 AAEL006291 AAEL003466 AAEL006910 AAEL015485 AAEL012219 AAEL010651 AAEL012146 AAEL017004
GO:0005737	cytoplasm	AAEL012101 AAEL014507 AAEL008509 AAEL004684 AAEL011237 AAEL013450 AAEL003872 AAEL003871 AAEL003877 AAEL006435 AAEL005513 AAEL011065 AAEL008255 AAEL002870 AAEL001200 AAEL003485 AAEL006018 AAEL004860 AAEL003246 AAEL009335 AAEL004682 AAEL004613 AAEL013291 AAEL001871 AAEL002261 AAEL012172 AAEL000794 AAEL004297 AAEL006642 AAEL014907 AAEL001384 AAEL007915 AAEL000486 AAEL015601 AAEL009320 AAEL011830 AAEL013058 AAEL801237 AAEL006858 AAEL004991 AAEL007696 AAEL007610 AAEL002867 AAEL007854 AAEL001044 AAEL000770 AAEL017096 AAEL002781 AAEL001206 AAEL011934 AAEL005037 AAEL009089 AAEL003885 AAEL000955 AAEL008840 AAEL005796 AAEL011655 AAEL007049 AAEL010204 AAEL017301 AAEL001036 AAEL000984 AAEL006938 AAEL002469 AAEL005839 AAEL008696 AAEL001670 AAEL001916 AAEL012746 AAEL002779 AAEL007297 AAEL012943 AAEL006182 AAEL005080 AAEL002401 AAEL011584 AAEL010063 AAEL008700 AAEL001218 AAEL015461 AAEL017085 AAEL006748 AAEL007988 AAEL015373 AAEL009607 AAEL013521 AAEL002892 AAEL009917 AAEL005830 AAEL003661 AAEL014489 AAEL003161 AAEL001426 AAEL010509 AAEL005801 AAEL017409 AAEL004738 AAEL008740 AAEL013235 AAEL013236 AAEL002721 AAEL008701 AAEL006619 AAEL004553 AAEL012014 AAEL002978 AAEL004385 AAEL009692 AAEL010559 AAEL014709 AAEL013896 AAEL014702 AAEL006441 AAEL001182 AAEL000199 AAEL005728 AAEL010764 AAEL012811 AAEL009754 AAEL000900 AAEL013814 AAEL009898 AAEL003546 AAEL010343 AAEL000108 AAEL000109 AAEL014958 AAEL005831 AAEL009389 AAEL009814 AAEL011742 AAEL013229 AAEL007633 AAEL005084 AAEL015217 AAEL006975 AAEL010900 AAEL002184 AAEL003052 AAEL006029 AAEL001220 AAEL004563 AAEL012302 AAEL007888 AAEL007760 AAEL007767 AAEL001030 AAEL005061 AAEL005574 AAEL014154 AAEL006769 AAEL004146 AAEL000795 AAEL009273 AAEL013808 AAEL008054 AAEL000284 AAEL011657 AAEL000282 AAEL012095 AAEL004308 AAEL011206 AAEL003431 AAEL001928 AAEL003437 AAEL001746 AAEL011518 AAEL012562 AAEL006946 AAEL010640 AAEL013161 AAEL013089 AAEL014494 AAEL012276 AAEL001649 AAEL014723 AAEL001007 AAEL015538 AAEL009435 AAEL015007 AAEL008120 AAEL010516 AAEL002887 AAEL004475 AAEL003193 AAEL009041 AAEL001052 AAEL010087 AAEL014130 AAEL008605 AAEL006174 AAEL004812 AAEL006930 AAEL005976 AAEL013879 AAEL011602 AAEL018350 AAEL013828 AAEL013877 AAEL008468 AAEL000258 AAEL003913 AAEL003666 AAEL004277 AAEL006061 AAEL004939 AAEL013575 AAEL001795 AAEL006415 AAEL007228 AAEL007702 AAEL008465 AAEL008467 AAEL002851 AAEL003994 AAEL000424 AAEL008131 AAEL004995 AAEL006782 AAEL010527 AAEL010318 AAEL012206 AAEL010315 AAEL011554 AAEL014048 AAEL015190 AAEL005343 AAEL002050 AAEL013902 AAEL013903 AAEL002748 AAEL006895 AAEL002508 AAEL012179 AAEL000388 AAEL010563 AAEL001715 AAEL008223 AAEL003237 AAEL012503 AAEL006834 AAEL010816 AAEL003165 AAEL005052 AAEL012424 AAEL005050 AAEL011817 AAEL006650 AAEL012055 AAEL006653 AAEL009710 AAEL012996 AAEL005688 AAEL007650 AAEL014199 AAEL007637 AAEL012983 AAEL012960 AAEL009497 AAEL007624 AAEL011395 AAEL008143 AAEL008141 AAEL011013 AAEL002160 AAEL003374 AAEL006885 AAEL004172 AAEL013676 AAEL002049 AAEL002048 AAEL008595 AAEL006577 AAEL000962 AAEL000624
GO:0043169	cation binding	AAEL001130 AAEL007673 AAEL000392 AAEL008452 AAEL007675 AAEL008451 AAEL010602 AAEL011686 AAEL008456 AAEL013421
GO:0005732	small nucleolar ribonucleoprotein complex	AAEL013061 AAEL017161 AAEL001506 AAEL008719
GO:0046385	deoxyribose phosphate biosynthetic process	AAEL013305
GO:0005730	nucleolus	AAEL000708 AAEL003352 AAEL003661 AAEL010832 AAEL012980 AAEL006637 AAEL009859 AAEL001831 AAEL005870 AAEL003293 AAEL001080 AAEL001037 AAEL001400 AAEL010468 AAEL000422 AAEL009579 AAEL001169 AAEL006107
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	AAEL002077
GO:0033875	ribonucleoside bisphosphate metabolic process	AAEL009311
GO:0043102	amino acid salvage	AAEL011830 AAEL013828
GO:0005739	mitochondrion	AAEL010143 AAEL011703 AAEL012924 AAEL014912 AAEL003423 AAEL000331 AAEL011352 AAEL801243 AAEL010008 AAEL015198 AAEL002948 AAEL000722 AAEL003858 AAEL014630 AAEL013560 AAEL017186 AAEL008392 AAEL002179 AAEL004943 AAEL011123 AAEL005866 AAEL010742 AAEL014947 AAEL003734 AAEL001926 AAEL001943 AAEL009908 AAEL002825 AAEL011538 AAEL010136 AAEL003906 AAEL004571 AAEL012793 AAEL002766 AAEL003417 AAEL009981 AAEL003829 AAEL003729 AAEL004457 AAEL011360 AAEL008128 AAEL012897 AAEL011814 AAEL013790 AAEL000454 AAEL009368 AAEL001134 AAEL000986 AAEL002783 AAEL010801 AAEL004284 AAEL000941 AAEL004260 AAEL005870 AAEL009657 AAEL002523 AAEL007367 AAEL004267 AAEL018318 AAEL011137 AAEL002486 AAEL008887 AAEL012929 AAEL000963 AAEL008490 AAEL010450 AAEL003563 AAEL008880
GO:0004843	thiol-dependent ubiquitin-specific protease activity	AAEL000787 AAEL001112 AAEL010184 AAEL013052 AAEL000448 AAEL009684 AAEL012807 AAEL003733 AAEL012707 AAEL017990 AAEL004980 AAEL009353 AAEL007710 AAEL010966 AAEL009702
GO:0017158	regulation of calcium ion-dependent exocytosis	AAEL001167
GO:0046365	monosaccharide catabolic process	AAEL002779
GO:0097027	ubiquitin-protein transferase activator activity	AAEL004480
GO:0010639	negative regulation of organelle organization	AAEL005419
GO:0034332	adherens junction organization	AAEL002887
GO:0017150	tRNA dihydrouridine synthase activity	AAEL001171 AAEL005898 AAEL012140 AAEL002182
GO:0003690	double-stranded DNA binding	AAEL010136 AAEL008392 AAEL002179 AAEL006080 AAEL012319 AAEL013481 AAEL003563
GO:0006892	post-Golgi vesicle-mediated transport	AAEL009926
GO:0017154	semaphorin receptor activity	AAEL002346 AAEL011432 AAEL014597
GO:0003697	single-stranded DNA binding	AAEL006080 AAEL013237 AAEL000147 AAEL000888
GO:0017157	regulation of exocytosis	AAEL012657 AAEL009304
GO:1903508	positive regulation of nucleic acid-templated transcription	AAEL000903 AAEL004574
GO:0042274	ribosomal small subunit biogenesis	AAEL005628
GO:0006644	phospholipid metabolic process	AAEL006826 AAEL001564 AAEL009679 AAEL009876 AAEL001528 AAEL014113
GO:0006643	membrane lipid metabolic process	AAEL014321 AAEL003046 AAEL001478 AAEL003742
GO:0006641	triglyceride metabolic process	AAEL001204
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	AAEL000393
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	AAEL000393
GO:0009240	isopentenyl diphosphate biosynthetic process	AAEL004050
GO:0009247	glycolipid biosynthetic process	AAEL008042 AAEL011700 AAEL011190 AAEL014183 AAEL801116 AAEL005468 AAEL010889 AAEL008061 AAEL008875 AAEL001202 AAEL006445 AAEL015107
GO:1903506	regulation of nucleic acid-templated transcription	AAEL011724 AAEL010723 AAEL004686 AAEL001567 AAEL003973 AAEL008445 AAEL001375 AAEL014670 AAEL801222 AAEL007605 AAEL006532 AAEL801235 AAEL015111 AAEL012029 AAEL015355 AAEL008392 AAEL002179 AAEL007230 AAEL012824 AAEL006082 AAEL011106 AAEL011480 AAEL012619 AAEL001148 AAEL007831 AAEL005195 AAEL012930 AAEL018300 AAEL000263 AAEL010327 AAEL004123 AAEL002321 AAEL010054 AAEL017391 AAEL009047 AAEL001361 AAEL009170 AAEL008736 AAEL012039 AAEL014072 AAEL003158 AAEL001689 AAEL002140 AAEL006939 AAEL013510 AAEL008437 AAEL013518 AAEL004605 AAEL007120 AAEL002060 AAEL014277 AAEL004602 AAEL011647 AAEL013832 AAEL002772 AAEL003794 AAEL009933 AAEL010433 AAEL003563 AAEL001373 AAEL010744 AAEL001428 AAEL000212 AAEL001500 AAEL000584 AAEL010513 AAEL010925 AAEL011825 AAEL010926 AAEL001695 AAEL001696 AAEL007190 AAEL005009 AAEL013733 AAEL014711 AAEL004458 AAEL010597 AAEL002795 AAEL000468 AAEL013010 AAEL002154 AAEL002395 AAEL014635 AAEL010217 AAEL009609 AAEL011739 AAEL018157 AAEL009235 AAEL010354 AAEL012881 AAEL012525 AAEL012523 AAEL018225 AAEL005480 AAEL005453 AAEL007505 AAEL007502 AAEL005368 AAEL000452 AAEL013752 AAEL001437 AAEL004259 AAEL015383 AAEL014557 AAEL014550 AAEL007779 AAEL002802 AAEL014151 AAEL001780 AAEL012312 AAEL007067 AAEL009895 AAEL004839 AAEL014491 AAEL008796 AAEL008063 AAEL011117 AAEL010341 AAEL013136 AAEL004707 AAEL011056 AAEL006593 AAEL004132 AAEL004130 AAEL006597 AAEL012891 AAEL005247 AAEL012474 AAEL002348 AAEL002427 AAEL016982 AAEL002343 AAEL007672 AAEL005250 AAEL008266 AAEL001036 AAEL008694 AAEL014740 AAEL001116 AAEL004097 AAEL014143 AAEL014389 AAEL009742 AAEL801250 AAEL018287 AAEL004942 AAEL013809 AAEL008720 AAEL013397 AAEL014021 AAEL009743 AAEL010463 AAEL002528 AAEL002335 AAEL011751 AAEL003436 AAEL012150 AAEL002359 AAEL011943 AAEL000631 AAEL002451 AAEL013087 AAEL002628 AAEL002355 AAEL002822 AAEL007369 AAEL008129 AAEL008685 AAEL013405 AAEL013760 AAEL006442 AAEL014237 AAEL011323 AAEL007482 AAEL001805 AAEL007221 AAEL011202 AAEL001637 AAEL002166 AAEL012877 AAEL004648 AAEL012187 AAEL010762 AAEL005166 AAEL004436 AAEL011317 AAEL001652 AAEL003077 AAEL014912 AAEL014322 AAEL000250 AAEL000149 AAEL011415 AAEL015035 AAEL007700 AAEL008466 AAEL007252 AAEL012990 AAEL006782 AAEL010319 AAEL008636 AAEL007360 AAEL014125 AAEL003263 AAEL010797 AAEL014848 AAEL011462 AAEL002740 AAEL010136 AAEL005974 AAEL014513 AAEL004106 AAEL017229 AAEL018695 AAEL010018 AAEL006013 AAEL013998 AAEL005685 AAEL012211 AAEL009027 AAEL001380 AAEL004744 AAEL008022 AAEL004586 AAEL003277 AAEL008141 AAEL001097 AAEL006595 AAEL003372 AAEL000623 AAEL012900 AAEL013342 AAEL003506 AAEL003504
GO:0060627	regulation of vesicle-mediated transport	AAEL012657 AAEL009304
GO:0004860	protein kinase inhibitor activity	AAEL005948 AAEL013291 AAEL005580
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	AAEL005948 AAEL013291 AAEL005580
GO:0004862	cAMP-dependent protein kinase inhibitor activity	AAEL005936
GO:0004864	protein phosphatase inhibitor activity	AAEL007410
GO:0004866	endopeptidase inhibitor activity	AAEL017023 AAEL000087 AAEL001794 AAEL001802 AAEL008607 AAEL012267 AAEL001163 AAEL014755
GO:0004867	serine-type endopeptidase inhibitor activity	AAEL003413 AAEL009795 AAEL010680 AAEL004587 AAEL001288 AAEL003092 AAEL007889 AAEL013027 AAEL017403
GO:0030123	AP-3 adaptor complex	AAEL017988 AAEL009039 AAEL008462
GO:0098636	protein complex involved in cell adhesion	AAEL013600 AAEL015560 AAEL011038 AAEL013381 AAEL014660 AAEL013762 AAEL001603
GO:0030126	COPI vesicle coat	AAEL013230 AAEL015001 AAEL004546 AAEL013098
GO:0030127	COPII vesicle coat	AAEL004977 AAEL011546 AAEL001273 AAEL007484 AAEL013448
GO:0030125	clathrin vesicle coat	AAEL000934 AAEL013614
GO:0004510	tryptophan 5-monooxygenase activity	AAEL017120
GO:0004511	tyrosine 3-monooxygenase activity	AAEL017098
GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	AAEL013481 AAEL012319
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity	AAEL014217 AAEL014215 AAEL014219 AAEL004922
GO:0004515	nicotinate-nucleotide adenylyltransferase activity	AAEL007908 AAEL018148
GO:0004516	nicotinate phosphoribosyltransferase activity	AAEL014217
GO:0004517	nitric-oxide synthase activity	AAEL009745
GO:0004518	nuclease activity	AAEL007237 AAEL004718 AAEL000425 AAEL000257 AAEL002098 AAEL009090 AAEL011993 AAEL015492
GO:0004519	endonuclease activity	AAEL008081 AAEL002098 AAEL013693 AAEL007854 AAEL010595 AAEL000034
GO:0030490	maturation of SSU-rRNA	AAEL006972
GO:0030496	midbody	AAEL014144
GO:0061134	peptidase regulator activity	AAEL011639 AAEL000551 AAEL002554 AAEL009266 AAEL014823
GO:0006004	fucose metabolic process	AAEL010653
GO:0006006	glucose metabolic process	AAEL016984 AAEL009507
GO:0031386	protein tag	AAEL008184
GO:0006000	fructose metabolic process	AAEL005446 AAEL001093 AAEL013132
GO:0039703	RNA replication	AAEL017001
GO:0006002	fructose 6-phosphate metabolic process	AAEL006895 AAEL017318
GO:0006003	fructose 2,6-bisphosphate metabolic process	AAEL005446 AAEL001093 AAEL013132
GO:0005201	extracellular matrix structural constituent	AAEL005386 AAEL005376
GO:0005200	structural constituent of cytoskeleton	AAEL012101 AAEL006179 AAEL005845 AAEL006642 AAEL004939 AAEL006222 AAEL005052 AAEL012424 AAEL002848 AAEL004172 AAEL013229 AAEL005084 AAEL002851
GO:0044837	actomyosin contractile ring organization	AAEL002714
GO:0044380	protein localization to cytoskeleton	AAEL010873 AAEL009976
GO:0098791	Golgi subcompartment	AAEL005949
GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity	AAEL004860
GO:0045017	glycerolipid biosynthetic process	AAEL001204
GO:0090389	phagosome-lysosome fusion involved in apoptotic cell clearance	AAEL003416
GO:0045010	actin nucleation	AAEL006289 AAEL006302 AAEL006090 AAEL006096 AAEL006095 AAEL006102 AAEL009371
GO:0005000	vasopressin receptor activity	AAEL008655 AAEL008652 AAEL011325
GO:0072524	pyridine-containing compound metabolic process	AAEL005106
GO:1901800	positive regulation of proteasomal protein catabolic process	AAEL000393
GO:0090382	phagosome maturation	AAEL013252 AAEL801165
GO:0004462	lactoylglutathione lyase activity	AAEL002957 AAEL014393
GO:0004463	leukotriene-A4 hydrolase activity	AAEL003666
GO:0008582	regulation of synaptic growth at neuromuscular junction	AAEL008758
GO:0018293	protein-FAD linkage	AAEL005866
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	AAEL011282
GO:0008970	phosphatidylcholine 1-acylhydrolase activity	AAEL007044 AAEL012790 AAEL007068 AAEL017291 AAEL007060 AAEL007063
GO:0006915	apoptotic process	AAEL011562 AAEL001501 AAEL014348 AAEL014658 AAEL014148 AAEL000763 AAEL007594 AAEL007595 AAEL007668 AAEL006265 AAEL005963 AAEL011983 AAEL003439 AAEL012446 AAEL014825 AAEL003829 AAEL007309 AAEL017498 AAEL005956 AAEL005955 AAEL003444 AAEL012143
GO:0006913	nucleocytoplasmic transport	AAEL000622 AAEL001861 AAEL009287 AAEL001029
GO:0018298	protein-chromophore linkage	AAEL007389 AAEL005625 AAEL005621 AAEL005322 AAEL006259 AAEL006498 AAEL004146 AAEL006484 AAEL003035
GO:0006911	phagocytosis, engulfment	AAEL004142
GO:0036094	small molecule binding	AAEL011278 AAEL009567
GO:0005009	insulin-activated receptor activity	AAEL002317
GO:0009117	nucleotide metabolic process	AAEL000258 AAEL008605
GO:0009116	nucleoside metabolic process	AAEL005839 AAEL012246 AAEL005976 AAEL002269
GO:0008191	metalloendopeptidase inhibitor activity	AAEL013525
GO:0008192	RNA guanylyltransferase activity	AAEL011759
GO:0008193	tRNA guanylyltransferase activity	AAEL014040
GO:0000774	adenyl-nucleotide exchange factor activity	AAEL004438
GO:0000775	chromosome, centromeric region	AAEL014633 AAEL013453 AAEL009789 AAEL011103
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	AAEL012578
GO:0004649	poly(ADP-ribose) glycohydrolase activity	AAEL007535 AAEL001470
GO:0000178	exosome (RNase complex)	AAEL013103 AAEL001619 AAEL014498 AAEL012874 AAEL000659
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	AAEL000076 AAEL014912 AAEL012582 AAEL011749 AAEL009534 AAEL010575
GO:0018344	protein geranylgeranylation	AAEL000605 AAEL001334
